figure_id,evidence_id,metric,arm,value,manifest_sha256,code_commit,actor_sha256,trace_sha256,fleet_seed,evaluator_seed,artifact_path,replication_unit,uncertainty,standing
fig1_e2b_offered_attainment_off,e2b_factorial_comparison,offered_task_deadline_attainment,off,0.683619229,9383ec767dccf2f390b498e0c20283a74cd64fa521d6137fe23ce38d0022af91,fe2ed4e9bd9043b19b96a5f179390db629b01ccb,93c970594447efbfa76c25629307ba4bbbbacd0661f9f4423496850d899dc208,e188ce076b0d000113dca3a53db8586dc424cbde51915a441f9d6b9990328056,0,0,/Users/akashx/AntigravityTest/e2_outputs/e2-native-placement-pilot-v1/full/off/run_1,fleet_draw,one_draw_descriptive_no_interval,RESEARCH-EVIDENCE FACT
fig1_e2b_offered_attainment_jsq,e2b_factorial_comparison,offered_task_deadline_attainment,jsq,0.675681775,9383ec767dccf2f390b498e0c20283a74cd64fa521d6137fe23ce38d0022af91,fe2ed4e9bd9043b19b96a5f179390db629b01ccb,93c970594447efbfa76c25629307ba4bbbbacd0661f9f4423496850d899dc208,e188ce076b0d000113dca3a53db8586dc424cbde51915a441f9d6b9990328056,0,0,/Users/akashx/AntigravityTest/e2_outputs/e2-native-placement-pilot-v1/full/jsq/run_1,fleet_draw,one_draw_descriptive_no_interval,RESEARCH-EVIDENCE FACT
fig1_e2b_offered_attainment_dla,e2b_factorial_comparison,offered_task_deadline_attainment,dla,0.694939919,9383ec767dccf2f390b498e0c20283a74cd64fa521d6137fe23ce38d0022af91,fe2ed4e9bd9043b19b96a5f179390db629b01ccb,93c970594447efbfa76c25629307ba4bbbbacd0661f9f4423496850d899dc208,e188ce076b0d000113dca3a53db8586dc424cbde51915a441f9d6b9990328056,0,0,/Users/akashx/AntigravityTest/e2_outputs/e2-native-placement-pilot-v1/full/dla/run_1,fleet_draw,one_draw_descriptive_no_interval,RESEARCH-EVIDENCE FACT
fig1_e2b_offered_attainment_ingress_dla,e2b_factorial_comparison,offered_task_deadline_attainment,ingress_dla,0.715773211,9383ec767dccf2f390b498e0c20283a74cd64fa521d6137fe23ce38d0022af91,fe2ed4e9bd9043b19b96a5f179390db629b01ccb,93c970594447efbfa76c25629307ba4bbbbacd0661f9f4423496850d899dc208,e188ce076b0d000113dca3a53db8586dc424cbde51915a441f9d6b9990328056,0,0,/Users/akashx/AntigravityTest/e2b_outputs/e2b-placement-admission-factorial-v1/full/ingress_dla/run_1,fleet_draw,one_draw_descriptive_no_interval,RESEARCH-EVIDENCE FACT
fig2_e2c_dla_minus_ingress_seed1,e2c_multidraw_comparison,offered_attainment_dla_minus_ingress_dla,paired_difference,-0.022097034972,fcaf2ee34b68ca4e4ef2e088d72ce2c5a410cf66ff9934a451fd8047204c480a,1a08d6e148a1e8c430da39c3d575eda3f8ea5929,93c970594447efbfa76c25629307ba4bbbbacd0661f9f4423496850d899dc208,e188ce076b0d000113dca3a53db8586dc424cbde51915a441f9d6b9990328056,1,0,/Users/akashx/AntigravityTest/e2c_outputs/e2c-gated-placement-multidraw-v1/cells/02_seed_1_dla/full/run_1,fleet_draw,e2c_primary_interval,RESEARCH-EVIDENCE FACT
fig2_e2c_dla_minus_ingress_seed2,e2c_multidraw_comparison,offered_attainment_dla_minus_ingress_dla,paired_difference,-0.020519134179,fcaf2ee34b68ca4e4ef2e088d72ce2c5a410cf66ff9934a451fd8047204c480a,1a08d6e148a1e8c430da39c3d575eda3f8ea5929,93c970594447efbfa76c25629307ba4bbbbacd0661f9f4423496850d899dc208,e188ce076b0d000113dca3a53db8586dc424cbde51915a441f9d6b9990328056,2,0,/Users/akashx/AntigravityTest/e2c_outputs/e2c-gated-placement-multidraw-v1/cells/04_seed_2_dla/full/run_1,fleet_draw,e2c_primary_interval,RESEARCH-EVIDENCE FACT
fig2_e2c_dla_minus_ingress_seed3,e2c_multidraw_comparison,offered_attainment_dla_minus_ingress_dla,paired_difference,-0.021447383092,fcaf2ee34b68ca4e4ef2e088d72ce2c5a410cf66ff9934a451fd8047204c480a,1a08d6e148a1e8c430da39c3d575eda3f8ea5929,93c970594447efbfa76c25629307ba4bbbbacd0661f9f4423496850d899dc208,e188ce076b0d000113dca3a53db8586dc424cbde51915a441f9d6b9990328056,3,0,/Users/akashx/AntigravityTest/e2c_outputs/e2c-gated-placement-multidraw-v1/cells/06_seed_3_dla/full/run_1,fleet_draw,e2c_primary_interval,RESEARCH-EVIDENCE FACT
fig2_e2c_dla_minus_ingress_seed4,e2c_multidraw_comparison,offered_attainment_dla_minus_ingress_dla,paired_difference,-0.020825491499,fcaf2ee34b68ca4e4ef2e088d72ce2c5a410cf66ff9934a451fd8047204c480a,1a08d6e148a1e8c430da39c3d575eda3f8ea5929,93c970594447efbfa76c25629307ba4bbbbacd0661f9f4423496850d899dc208,e188ce076b0d000113dca3a53db8586dc424cbde51915a441f9d6b9990328056,4,0,/Users/akashx/AntigravityTest/e2c_outputs/e2c-gated-placement-multidraw-v1/cells/08_seed_4_dla/full/run_1,fleet_draw,e2c_primary_interval,RESEARCH-EVIDENCE FACT
fig3_e2d_per_task_minus_ingress_seed1,e2d_robustness_comparison,offered_attainment_per_task_dla_minus_ingress_dla,paired_difference,0.004636732564,f77afb231f7d0be2c13627e9fbdc6bf635ea86b351bf0a0e7c83295ef0435740,80e8ae55dfbcc0aa271ed7ed1d67aeae8f384761,93c970594447efbfa76c25629307ba4bbbbacd0661f9f4423496850d899dc208,e188ce076b0d000113dca3a53db8586dc424cbde51915a441f9d6b9990328056,1,0,/Users/akashx/AntigravityTest/e2d_outputs/e2d-per-task-placement-robustness-v1/cells/01_seed_1_per_task_dla/full/run_1,fleet_draw,e2d_primary_interval,RESEARCH-EVIDENCE FACT
fig3_e2d_per_task_minus_ingress_seed2,e2d_robustness_comparison,offered_attainment_per_task_dla_minus_ingress_dla,paired_difference,0.005867285642,f77afb231f7d0be2c13627e9fbdc6bf635ea86b351bf0a0e7c83295ef0435740,80e8ae55dfbcc0aa271ed7ed1d67aeae8f384761,93c970594447efbfa76c25629307ba4bbbbacd0661f9f4423496850d899dc208,e188ce076b0d000113dca3a53db8586dc424cbde51915a441f9d6b9990328056,2,0,/Users/akashx/AntigravityTest/e2d_outputs/e2d-per-task-placement-robustness-v1/cells/02_seed_2_per_task_dla/full/run_1,fleet_draw,e2d_primary_interval,RESEARCH-EVIDENCE FACT
