seed,type,offered,ingress_successes,per_task_successes,net_successes,difference_pp,gate_change,admitted_miss_change,other_terminal_change
0,1,349045,252283,272106,19823,5.679210416994948,-18682,-1141,0
0,2,523060,516034,516106,72,0.013765151225470618,-46,-26,0
0,3,872011,780747,828664,47917,5.494999489685341,-46416,-1501,0
2,1,349045,242629,261794,19165,5.490696042057621,-23152,3987,0
2,2,523060,515409,515471,62,0.011853324666390108,-40,-22,0
2,3,872011,768687,828363,59676,6.843491653201625,-57856,-1820,0
3,1,349045,253921,274260,20339,5.827042358435165,-18173,-2166,0
3,2,523060,517080,517086,6,0.0011470959354511479,-1,-5,0
3,3,872011,782701,830305,47604,5.459105447064317,-45779,-1825,0
4,1,349045,260449,280703,20254,5.8026901975390075,-14450,-5804,0
4,2,523060,516064,516069,5,0.0009559132795402547,-1,-4,0
4,3,872011,795155,832211,37056,4.249487678481131,-35430,-1626,0
