study,block,fleet_seed,evaluator_seed,arm,reused_reference,offered,admitted,successes,attainment_pct
baseline,0,100,200,ingress_dla,True,1744761,1655779,1525913,87.45684939083347
baseline,0,100,200,dla,True,1744761,1582636,1459384,83.64377699868349
baseline,0,100,200,per_task_dla,True,1744761,1737398,1605152,91.99838831794155
baseline,0,100,200,causal_round_robin,True,1744761,1726560,1592830,91.29215978578155
baseline,1,101,201,ingress_dla,True,1740970,1662805,1534040,88.11409731356657
baseline,1,101,201,dla,True,1740970,1593599,1470819,84.48273089139963
baseline,1,101,201,per_task_dla,True,1740970,1736301,1607919,92.35765119444908
baseline,1,101,201,causal_round_robin,True,1740970,1727104,1596377,91.69468744435574
baseline,2,102,202,ingress_dla,True,1741855,1639136,1510719,86.73046837997423
baseline,2,102,202,dla,True,1741855,1556771,1436166,82.45037617941792
baseline,2,102,202,per_task_dla,True,1741855,1732694,1598164,91.75069107359683
baseline,2,102,202,causal_round_robin,True,1741855,1718789,1583772,90.92444549058331
baseline,3,103,203,ingress_dla,True,1744227,1677045,1557192,89.27691177811145
baseline,3,103,203,dla,True,1744227,1616965,1501691,86.09492915773005
baseline,3,103,203,per_task_dla,True,1744227,1740631,1624157,93.11614829950459
baseline,3,103,203,causal_round_robin,True,1744227,1734468,1614712,92.57464768060579
baseline,4,104,204,ingress_dla,True,1743484,1680263,1560221,89.48869046116856
baseline,4,104,204,dla,True,1743484,1623533,1507624,86.47191485554212
baseline,4,104,204,per_task_dla,True,1743484,1738717,1622888,93.0830452129185
baseline,4,104,204,causal_round_robin,True,1743484,1732685,1613895,92.56723893078457
baseline,5,105,205,ingress_dla,True,1745078,1685944,1564006,89.62384489403912
baseline,5,105,205,dla,True,1745078,1629177,1511177,86.59653035566319
baseline,5,105,205,per_task_dla,True,1745078,1740768,1623996,93.06151358277396
baseline,5,105,205,causal_round_robin,True,1745078,1735213,1614934,92.54222447363384
baseline,6,106,206,ingress_dla,True,1742095,1669339,1541879,88.50717096369601
baseline,6,106,206,dla,True,1742095,1603847,1481655,85.05018383038812
baseline,6,106,206,per_task_dla,True,1742095,1736400,1611494,92.50322169571695
baseline,6,106,206,causal_round_robin,True,1742095,1729087,1601138,91.90876502142535
baseline,7,107,207,ingress_dla,True,1744742,1657846,1531566,87.78180384263118
baseline,7,107,207,dla,True,1744742,1588286,1468334,84.15765769380229
baseline,7,107,207,per_task_dla,True,1744742,1736713,1608728,92.20434883782244
baseline,7,107,207,causal_round_robin,True,1744742,1726431,1596904,91.52665551697615
07_two_choice,0,100,200,dla_p2c,False,1744761,1726968,1592972,91.30029843629013
07_two_choice,1,101,201,dla_p2c,False,1740970,1727388,1596165,91.68251032470404
07_two_choice,2,102,202,dla_p2c,False,1741855,1719188,1583750,90.92318246926409
07_two_choice,3,103,203,dla_p2c,False,1744227,1734272,1614028,92.53543260137586
07_two_choice,4,104,204,dla_p2c,False,1743484,1732562,1612905,92.51045607530668
07_two_choice,5,105,205,dla_p2c,False,1745078,1735342,1614577,92.52176693534615
07_two_choice,6,106,206,dla_p2c,False,1742095,1729244,1600800,91.88936309443515
07_two_choice,7,107,207,dla_p2c,False,1744742,1726899,1596804,91.52092401054139
08_half_speed,0,100,200,ingress_dla,False,1744761,1588043,1459542,83.65283268023529
08_half_speed,0,100,200,dla,False,1744761,1518266,1395027,79.95519157065065
08_half_speed,0,100,200,per_task_dla,False,1744761,1681045,1535482,88.00529126911938
08_half_speed,0,100,200,causal_round_robin,False,1744761,1659213,1520911,87.17016256094675
08_half_speed,1,101,201,ingress_dla,False,1740970,1599204,1471320,84.51150795246328
08_half_speed,1,101,201,dla,False,1740970,1532916,1410211,81.00145321286409
08_half_speed,1,101,201,per_task_dla,False,1740970,1689282,1545448,88.76936420501215
