fleet_seed,arm,mode,offered,deadline_met,attainment_pct,admitted,gate_rejected,cap_rejected,local_mqd_rejected,v2v_mqd_rejected,v2i_unavailable,v2v_unavailable,forwarded,energy_j_per_offered_task,wall_s,validation_sha256
0,per_task,per_task_dla,1744116,1616876,92.70461368395222,1738069,3022,0,321,2656,47,1,352040,0.4819871857720473,148.5,db7000719b4e2f7edf78e11d92c4621266eb84182dc9c1b88de5d963b71217aa
0,ingress,ingress_dla,1744116,1549064,88.8165695400994,1672925,68166,0,321,2656,47,1,0,0.48190290238722655,171.6,17853bf379c24f3805b88fe4e94d1d2f64261e909d8890469672a8fbb09a8bdd
0,common_target,dla,1744116,1494003,85.65961209002153,1613537,127554,0,321,2656,47,1,220633,0.4818267893305262,185.2,64ebaa66abdc05da5cb5b750fd050e14634bee42b956e80b1077d672b1bbcca1
2,per_task,per_task_dla,1744116,1605628,92.05970245098376,1737029,3503,0,391,3143,50,0,403293,0.46100370474211577,181.5,c45b1184ec213152b74254238e9e5ae7702be90248e5e5a284545d24ee5b7625
2,ingress,ingress_dla,1744116,1526725,87.5357487690039,1655981,84551,0,391,3143,50,0,0,0.46089996307585046,197.3,c45b39522b3cfd7fc8b89a71619ac09fe5d093dcabe6e7d82dd70a20fd6a0dd7
2,common_target,dla,1744116,1456985,83.53716151907328,1579517,161015,0,391,3143,50,0,242144,0.4607952538707288,194.6,c4c6c494a490d8a5c8ad2e10d29b141ea06bc0134a4240be3db3959ea6eafc43
3,per_task,per_task_dla,1744116,1621651,92.97839134552976,1741610,788,0,229,1447,42,0,350852,0.4645609150996837,186.5,18ffb77bdbbce063791f18b719d813110f2b0e44f3fa873bc7429ac3fadeafd5
3,ingress,ingress_dla,1744116,1553702,89.0824922195542,1677657,64741,0,229,1447,42,0,0,0.4644775634189469,197.5,4b567e0c71b8232e647f837f2e204c8797a4fab699e42739f6a3abecf2fe9605
3,common_target,dla,1744116,1497536,85.86217889177095,1616906,125492,0,229,1447,42,0,219193,0.4643952151118389,190.8,0043cbf007a2c7d8ff5e6e8e1d71bc74b8ef27c2dcb63e89512848118c781410
4,per_task,per_task_dla,1744116,1628983,93.39877622818665,1739997,455,0,426,3214,22,2,305970,0.5032105806035837,175.6,8bc36257a4d6f48d471a2daf9b1818cca7f770c7b19f7928aae619990f288350
4,ingress,ingress_dla,1744116,1571668,90.11258425471699,1690116,50336,0,426,3214,22,2,0,0.5031477264126928,189.3,bcbd0c8b710bff0c8a9b412e61e883f4187988a695b14b02fbf4a6b846b88b41
4,common_target,dla,1744116,1527138,87.55942838664402,1642829,97623,0,426,3214,22,2,200074,0.5030885990381374,194.3,c9989668c6a0b71bb290983a46f06dbceb6af43997efadb467f4bf39a0c36f4a
