offered,admitted,successes,terminal_failures,simulation_process_s,validation_s,total_wall_s,started_at,finished_at,max_service_conservation_error_ms,max_vehicle_service_conservation_error_ms,block,fleet_seed,evaluator_seed,arm,attainment_pct,admitted_misses,gate_rejected,capacity_rejected,local_rejected,v2v_rejected,v2i_unavailable,v2v_unavailable,evaluator_scan_wall_s
1744761,1655779,1525913,88982,165.56942795799114,1.249492249917239,166.8190072500147,2026-09-08T11:50:52.263014+00:00,2026-09-08T11:53:39.079123+00:00,4.9591064453125e-05,0.000152587890625,0,100,200,ingress_dla,87.45684939083347,129866,86625,0,269,2037,50,1,151.9
1744761,1582636,1459384,162125,190.00095595803577,1.248797082924284,191.24979666701984,2026-09-08T11:53:39.091696+00:00,2026-09-08T11:56:50.338169+00:00,8.606910705566406e-05,0.000152587890625,0,100,200,dla,83.64377699868349,123252,159768,0,269,2037,50,1,176.4
1744761,1737398,1605152,7363,185.08763349999208,1.2279697089688852,186.31564654107206,2026-09-08T11:56:50.350504+00:00,2026-09-08T11:59:56.662914+00:00,2.384185791015625e-05,0.000152587890625,0,100,200,per_task_dla,91.99838831794155,132246,5006,0,269,2037,50,1,171.4
1744761,1726560,1592830,18201,188.1515275000129,1.3307495840126649,189.48232645797543,2026-09-08T11:59:56.676013+00:00,2026-09-08T12:03:06.155046+00:00,2.5272369384765625e-05,0.000152587890625,0,100,200,causal_round_robin,91.29215978578155,133730,15844,0,269,2037,50,1,174.5
1740970,1593599,1470819,147371,220.70444408303592,1.2482428340008482,221.95276474999264,2026-09-08T12:03:07.317083+00:00,2026-09-08T12:06:49.309965+00:00,8.058547973632812e-05,0.00015163421630859375,1,101,201,dla,84.48273089139963,122780,145557,0,217,1518,78,1,207.2
1740970,1736301,1607919,4669,189.1264107080642,1.2188776660477743,190.34532591700554,2026-09-08T12:06:49.326339+00:00,2026-09-08T12:09:59.669765+00:00,1.811981201171875e-05,0.00015163421630859375,1,101,201,per_task_dla,92.35765119444908,128382,2855,0,217,1518,78,1,175.2
1740970,1727104,1596377,13866,236.2547667499166,2.4919079579412937,238.74726487498265,2026-09-08T12:09:59.683939+00:00,2026-09-08T12:13:58.428778+00:00,2.288818359375e-05,0.00015163421630859375,1,101,201,causal_round_robin,91.69468744435574,130727,12052,0,217,1518,78,1,210.1
1740970,1662805,1534040,78165,284.7591646250803,2.349005375057459,287.10823987505864,2026-09-08T12:13:58.452572+00:00,2026-09-08T12:18:45.557894+00:00,5.745887756347656e-05,0.00015163421630859375,1,101,201,ingress_dla,88.11409731356657,128765,76351,0,217,1518,78,1,258.8
1741855,1732694,1598164,9161,268.35302333300933,2.3623750830302015,270.7154721249826,2026-09-08T12:18:47.544926+00:00,2026-09-08T12:23:18.320118+00:00,2.09808349609375e-05,0.000164031982421875,2,102,202,per_task_dla,91.75069107359683,134530,6364,0,319,2417,61,0,242.5
1741855,1718789,1583772,23066,261.4529528749408,2.5469080419279635,263.9999313750304,2026-09-08T12:23:18.334384+00:00,2026-09-08T12:27:42.334372+00:00,3.170967102050781e-05,0.000164031982421875,2,102,202,causal_round_robin,90.92444549058331,135017,20269,0,319,2417,61,0,235.8
