fleet_seed,task_substep,observed_target_substeps,no_observable_target_substeps,v2i_attempts,v2i_admitted,gate_rejected,target_matches_slot_index,target_below_slot_index,min_tied_rsus,max_reconstructed_post_slot_workload_ms
0,0,10800,0,207537,116071,91441,10800,0,9,538.7296752929688
0,1,10799,1,117961,85494,32453,10799,0,8,538.7296752929688
0,2,10676,124,51098,47515,3576,10676,0,7,538.7296752929688
0,3,8623,2177,17583,17498,84,8623,0,6,538.7296752929688
0,4,3961,6839,4986,4986,0,3961,0,5,538.7296752929688
2,0,10800,0,237894,124734,113133,10800,0,9,537.4407348632812
2,1,10800,0,135436,92510,42912,10800,0,8,537.4407348632812
2,2,10745,55,58593,53713,4873,10745,0,7,537.4407348632812
2,3,9119,1681,20115,20016,97,9119,0,6,537.4407348632812
2,4,4388,6412,5712,5712,0,4388,0,5,537.4407348632812
3,0,10800,0,205698,114852,90824,10800,0,9,535.1683959960938
3,1,10800,0,117231,85645,31574,10800,0,8,535.1683959960938
3,2,10713,87,50572,47523,3042,10713,0,7,535.1683959960938
3,3,8623,2177,17400,17347,52,8623,0,6,535.1683959960938
3,4,3946,6854,4931,4931,0,3946,0,5,535.1683959960938
4,0,10800,0,179252,107006,72231,10800,0,9,534.28076171875
4,1,10800,0,102027,78572,23451,10800,0,8,534.28076171875
4,2,10608,192,43971,42062,1906,10608,0,7,534.28076171875
4,3,8118,2682,15172,15137,35,8118,0,6,534.28076171875
4,4,3508,7292,4263,4263,0,3508,0,5,534.28076171875
