sumo_vehicle_id,slot,t_enter,t_exit
28200_117,0,0,34
28200_156,1,0,12
28200_162,2,0,0
28500_10,3,0,29
28500_100,4,0,137
28500_101,5,0,232
28500_102,6,0,90
28500_103,7,0,83
28500_104,8,0,179
28500_105,9,0,84
28500_106,10,0,172
28500_107,11,0,179
28500_108,12,0,187
28500_109,13,0,223
28500_110,14,0,268
28500_111,15,0,149
28500_112,16,0,197
28500_113,17,0,63
28500_114,18,0,114
28500_115,19,0,212
28500_116,20,0,92
28500_117,21,0,239
28500_118,22,0,169
28500_119,23,0,118
28500_120,24,0,180
28500_121,25,0,237
28500_122,26,0,242
28500_123,27,0,272
28500_124,28,0,221
28500_125,29,0,63
28500_126,30,0,210
28500_127,31,0,153
28500_128,32,0,150
28500_129,33,0,108
28500_130,34,0,107
28500_131,35,0,210
28500_132,36,0,289
28500_133,37,0,150
28500_25,38,0,1
28500_32,39,0,6
28500_33,40,0,7
28500_39,41,0,2
28500_40,42,0,39
28500_42,43,0,13
28500_47,44,0,210
28500_48,45,0,207
28500_49,46,0,113
28500_51,47,0,65
28500_52,48,0,82
28500_53,49,0,118
28500_54,50,0,28
28500_55,51,0,2
28500_56,52,0,129
28500_57,53,0,81
28500_58,54,0,206
28500_59,55,0,97
28500_60,56,0,15
28500_63,57,0,56
28500_65,58,0,150
28500_66,59,0,75
28500_67,60,0,103
28500_68,61,0,40
28500_70,62,0,48
28500_73,63,0,119
28500_75,64,0,58
28500_76,65,0,134
28500_77,66,0,136
28500_78,67,0,53
28500_79,68,0,79
28500_80,69,0,5
28500_82,70,0,3
28500_83,71,0,86
28500_84,72,0,162
28500_85,73,0,172
28500_86,74,0,60
28500_87,75,0,35
28500_88,76,0,181
28500_89,77,0,109
28500_90,78,0,154
28500_91,79,0,167
28500_92,80,0,243
28500_93,81,0,253
28500_94,82,0,141
28500_95,83,0,148
28500_96,84,0,88
28500_97,85,0,53
28500_98,86,0,57
28500_99,87,0,192
28800_0,40,8,221
28800_1,56,16,232
28800_2,43,19,149
28800_3,1,22,133
28800_4,39,22,316
28800_5,69,23,252
28800_6,70,23,167
28800_8,50,29,273
28800_7,3,31,225
28800_9,51,31,198
28800_10,41,34,190
28800_11,0,35,265
28800_12,38,35,232
28800_13,75,38,165
28800_14,61,42,148
28800_15,42,45,141
28800_16,2,48,172
28800_17,62,53,295
28800_18,88,53,314
28800_19,85,54,313
28800_20,67,56,320
28800_21,89,56,282
28800_22,57,57,292
28800_23,74,63,352
28800_25,17,64,258
28800_24,29,64,242
28800_26,47,72,272
28800_27,64,73,321
28800_28,86,74,245
28800_29,59,79,407
28800_30,68,81,318
28800_31,90,81,391
28800_32,53,82,246
28800_33,91,82,275
28800_34,48,83,360
28800_35,7,84,292
28800_36,71,87,270
28800_37,84,90,246
28800_38,6,91,255
28800_39,20,93,190
28800_40,9,97,389
28800_41,55,99,382
28800_42,92,99,285
28800_43,93,99,319
28800_44,94,100,456
28800_45,95,102,327
28800_46,60,105,243
28800_47,96,105,268
28800_48,77,110,299
28800_49,49,119,386
28800_50,63,121,236
28800_51,23,122,419
28800_52,18,123,418
28800_53,46,125,358
28800_54,33,128,353
28800_55,34,129,377
28800_56,97,129,430
28800_57,52,132,354
28800_58,98,132,254
28800_60,65,135,255
28800_61,1,136,321
28800_62,66,137,416
28800_59,4,139,371
28800_63,99,140,293
28800_64,100,140,375
28800_65,42,142,394
28800_66,82,143,267
28800_67,58,151,294
28800_68,37,153,550
28800_69,78,159,310
28800_71,31,164,372
28800_70,72,164,377
28800_72,32,165,283
28800_73,43,165,455
28800_74,70,168,373
28800_75,22,170,312
28800_77,75,170,463
28800_76,79,170,432
28800_78,2,174,399
28800_79,73,174,431
28800_80,10,175,413
28800_81,15,179,323
28800_82,24,181,570
28800_83,76,183,449
28800_84,11,184,370
28800_85,8,185,305
28800_86,12,188,449
28800_87,61,188,451
28800_88,83,188,307
28800_89,101,188,443
28800_90,102,189,400
28800_92,20,195,454
28800_91,87,195,438
28800_93,41,196,542
28800_94,16,198,406
28800_95,51,202,583
28800_96,103,202,500
28800_97,19,217,461
28800_98,44,218,358
28800_99,40,223,461
28800_100,13,225,462
28800_101,28,225,384
28800_102,3,228,563
28800_104,30,228,486
28800_103,35,228,408
28800_105,45,228,516
28800_106,54,229,383
28800_107,104,230,477
28800_108,38,235,495
28800_109,63,237,464
28800_110,25,238,345
28800_111,21,240,500
28800_112,56,241,527
28800_113,29,243,446
28800_114,60,244,390
28800_115,84,247,394
28800_116,53,252,445
28800_117,81,254,359
28800_119,69,255,488
28800_120,86,255,520
28800_118,98,255,364
28800_122,6,256,499
28800_121,65,256,503
28800_123,80,257,655
28800_124,17,260,522
28800_125,26,261,408
28800_126,5,262,421
28800_127,105,263,398
28800_128,106,264,494
28800_129,0,266,510
28800_130,91,277,495
28800_131,50,279,519
28800_132,47,280,482
28800_133,92,286,502
28800_134,32,288,416
