fleet_seed,arm,task_type,offered,deadline_met,deadline_attainment
0,per_task,1,349045,272106,0.7795728344482803
0,per_task,2,523060,516106,0.9867051581080565
0,per_task,3,872011,828664,0.9502907646807208
0,ingress,1,349045,252283,0.7227807302783309
0,ingress,2,523060,516034,0.9865675065958016
0,ingress,3,872011,780747,0.8953407697838675
0,common_target,1,349045,239942,0.6874242576172127
0,common_target,2,523060,515808,0.9861354337934463
0,common_target,3,872011,738253,0.8466097331341004
2,per_task,1,349045,261794,0.7500293658410807
2,per_task,2,523060,515471,0.9854911482430314
2,per_task,3,872011,828363,0.9499455855488061
2,ingress,1,349045,242629,0.6951224054205045
2,ingress,2,523060,515409,0.9853726149963675
2,ingress,3,872011,768687,0.8815106690167899
2,common_target,1,349045,227681,0.6522969817645289
2,common_target,2,523060,515162,0.9849003938362711
2,common_target,3,872011,714142,0.8189598525706672
3,per_task,1,349045,274260,0.7857439585153777
3,per_task,2,523060,517086,0.9885787481359691
3,per_task,3,872011,830305,0.952172621675644
3,ingress,1,349045,253921,0.7274735349310261
3,ingress,2,523060,517080,0.9885672771766145
3,ingress,3,872011,782701,0.8975815672050008
3,common_target,1,349045,241041,0.6905728487730808
3,common_target,2,523060,517022,0.988456391236187
3,common_target,3,872011,739473,0.848008798054153
4,per_task,1,349045,280703,0.8042028964746666
4,per_task,2,523060,516069,0.98663442052537
4,per_task,3,872011,832211,0.9543583739195951
4,ingress,1,349045,260449,0.7461759944992766
4,ingress,2,523060,516064,0.9866248613925744
4,ingress,3,872011,795155,0.9118634971347839
4,common_target,1,349045,250088,0.7164921428469109
4,common_target,2,523060,516029,0.9865579474630062
4,common_target,3,872011,761021,0.8727194955109511
