study,contrast,fleet_seed,difference,role
E1,40x_minus_0p75_offered_attainment,0,-0.000171609043,primary_replication
E1,40x_minus_0p75_offered_attainment,1,-0.000122129965,primary_replication
E1,40x_minus_0p75_offered_attainment,2,0.000000000000,primary_replication
E1,40x_minus_0p75_offered_attainment,3,-0.000253436884,primary_replication
E1,40x_minus_0p75_offered_attainment,4,0.000000000000,primary_replication
E2,jsq_minus_off_offered_attainment,0,-0.007937453551,descriptive_pilot
E2b,dla_minus_ingress_dla_offered_attainment,0,-0.020833291910,hypothesis_generating
E2c,dla_minus_ingress_dla_offered_attainment,1,-0.022097034972,primary_replication
E2c,dla_minus_ingress_dla_offered_attainment,2,-0.020519134179,primary_replication
E2c,dla_minus_ingress_dla_offered_attainment,3,-0.021447383092,primary_replication
E2c,dla_minus_ingress_dla_offered_attainment,4,-0.020825491499,primary_replication
E2d,per_task_dla_minus_ingress_dla_offered_attainment,1,0.004636732564,primary_construct_validity
E2d,per_task_dla_minus_ingress_dla_offered_attainment,2,0.005867285642,primary_construct_validity
E2d,per_task_dla_minus_ingress_dla_offered_attainment,3,0.005071796666,primary_construct_validity
E2d,per_task_dla_minus_ingress_dla_offered_attainment,4,0.005509919752,primary_construct_validity
E2d,per_task_dla_minus_common_target_dla_offered_attainment,1,0.026733767536,secondary_construct_validity
E2d,per_task_dla_minus_common_target_dla_offered_attainment,2,0.026386419821,secondary_construct_validity
E2d,per_task_dla_minus_common_target_dla_offered_attainment,3,0.026519179758,secondary_construct_validity
E2d,per_task_dla_minus_common_target_dla_offered_attainment,4,0.026335411251,secondary_construct_validity
